axis,value,category
Truth & Reality,9,High Concern Group
Human Identity,8,High Concern Group
Economic Inequality,7,High Concern Group
Military/Conflict,8,High Concern Group
Job Displacement,6,High Concern Group
Technical Reliability,9,High Concern Group
Privacy/Surveillance,7,High Concern Group
Human Connection,9,High Concern Group
Truth & Reality,6,Moderate Concern Group
Human Identity,5,Moderate Concern Group
Economic Inequality,6,Moderate Concern Group
Military/Conflict,4,Moderate Concern Group
Job Displacement,4,Moderate Concern Group
Technical Reliability,5,Moderate Concern Group
Privacy/Surveillance,5,Moderate Concern Group
Human Connection,6,Moderate Concern Group
Truth & Reality,7,Selective Concern Group
Human Identity,3,Selective Concern Group
Economic Inequality,8,Selective Concern Group
Military/Conflict,2,Selective Concern Group
Job Displacement,3,Selective Concern Group
Technical Reliability,4,Selective Concern Group
Privacy/Surveillance,6,Selective Concern Group
Human Connection,4,Selective Concern Group

